<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.18	01:01:00	4866.08	4866.45	4863.60	4866.32	196	0	21
2026.02.18	01:02:00	4866.48	4869.91	4860.18	4867.62	252	0	23
2026.02.18	01:03:00	4867.68	4874.86	4867.16	4871.81	283	0	18
2026.02.18	01:04:00	4871.84	4873.33	4869.97	4870.85	109	0	19
2026.02.18	01:05:00	4871.01	4873.32	4865.35	4868.60	128	0	19
2026.02.18	01:06:00	4868.66	4869.02	4868.09	4868.09	105	0	23
2026.02.18	01:07:00	4868.23	4874.31	4868.18	4872.47	111	0	22
2026.02.18	01:08:00	4872.48	4873.47	4871.32	4872.70	88	0	21
2026.02.18	01:09:00	4872.60	4875.33	4872.53	4874.59	119	0	23
2026.02.18	01:10:00	4874.65	4874.65	4868.84	4868.91	126	0	22
2026.02.18	01:11:00	4868.68	4871.75	4865.70	4871.75	112	0	21
2026.02.18	01:12:00	4871.74	4873.87	4870.95	4873.02	47	0	20
2026.02.18	01:13:00	4872.95	4875.24	4871.72	4875.20	60	0	20
2026.02.18	01:14:00	4875.04	4883.43	4874.58	4882.59	209	0	22
2026.02.18	01:15:00	4882.55	4884.37	4879.95	4880.76	134	0	19
2026.02.18	01:16:00	4880.73	4880.81	4878.58	4880.63	131	0	22
2026.02.18	01:17:00	4880.52	4880.63	4878.00	4879.64	82	0	20
2026.02.18	01:18:00	4879.62	4880.33	4868.17	4869.29	261	0	20
2026.02.18	01:19:00	4869.57	4874.47	4868.57	4873.91	225	0	18
2026.02.18	01:20:00	4873.86	4877.84	4873.35	4876.78	169	0	20
2026.02.18	01:21:00	4876.82	4878.97	4876.15	4878.57	100	0	22
2026.02.18	01:22:00	4878.68	4878.88	4875.41	4876.00	76	0	21
2026.02.18	01:23:00	4875.71	4876.16	4869.62	4869.62	186	0	16
2026.02.18	01:24:00	4869.58	4872.12	4867.82	4872.12	201	0	20
2026.02.18	01:25:00	4872.28	4873.36	4870.17	4871.74	111	0	20
2026.02.18	01:26:00	4872.39	4873.75	4872.39	4873.75	90	0	22
2026.02.18	01:27:00	4873.78	4875.01	4872.37	4874.25	88	0	18
2026.02.18	01:28:00	4874.15	4874.15	4872.85	4873.29	58	0	23
2026.02.18	01:29:00	4873.33	4878.78	4873.33	4877.53	96	0	21
2026.02.18	01:30:00	4877.60	4883.57	4877.60	4878.66	146	0	16
2026.02.18	01:31:00	4878.71	4879.21	4874.88	4875.82	106	0	22
2026.02.18	01:32:00	4875.88	4876.94	4874.19	4874.60	53	0	20
2026.02.18	01:33:00	4874.53	4875.61	4873.13	4874.56	92	0	19
2026.02.18	01:34:00	4872.09	4873.10	4868.90	4869.49	133	0	17
2026.02.18	01:35:00	4869.57	4871.67	4869.49	4871.37	94	0	21
2026.02.18	01:36:00	4871.33	4872.46	4869.57	4870.31	67	0	18
2026.02.18	01:37:00	4870.31	4871.59	4870.30	4870.84	55	0	21
2026.02.18	01:38:00	4870.79	4871.38	4866.81	4869.84	123	0	17
2026.02.18	01:39:00	4869.86	4871.29	4866.26	4866.34	126	0	18
2026.02.18	01:40:00	4866.43	4869.62	4866.43	4868.51	165	0	21
